,DomainLength,TLD,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,IsHTTPS,HasTitle,HasFavicon,NoOfURLRedirect,HasDescription,NoOfiFrame,HasHiddenFields,HasPasswordField,NoOfImage,NoOfCSS,NoOfJS,label
50197,15,231,1,9,0.409,0,0.0,1,1,1,0,1,0,1,0,45,12,24,1
50200,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,1,0,44,2,3,1
50201,16,231,1,10,0.435,0,0.0,1,1,1,0,0,4,0,0,37,1,6,1
50202,17,303,1,11,0.458,0,0.0,1,1,1,0,1,2,1,0,15,8,14,1
50203,15,231,1,9,0.409,0,0.0,1,1,0,0,0,0,0,0,31,11,13,1
50205,23,254,1,16,0.533,0,0.0,1,1,1,0,0,0,0,0,8,2,3,1
50207,21,231,1,15,0.536,0,0.0,1,1,0,0,1,2,1,0,35,31,35,1
50208,20,231,1,14,0.519,0,0.0,1,1,0,0,0,3,1,0,31,7,12,1
50211,12,273,1,6,0.316,0,0.0,1,1,1,0,1,0,0,0,15,17,17,1
50215,16,231,1,10,0.435,0,0.0,1,1,1,0,1,0,1,0,39,2,9,1
50222,13,254,1,6,0.3,0,0.0,1,1,1,0,1,0,1,0,6,3,1,1
50224,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,1,0,0,3,7,1
50225,14,254,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,14,2,2,1
50229,30,231,1,24,0.649,0,0.0,1,1,0,0,1,2,1,0,101,4,17,1
50236,16,231,1,10,0.435,0,0.0,1,1,1,0,1,2,0,0,39,13,25,1
50237,25,231,1,19,0.594,0,0.0,1,1,0,0,1,0,1,0,8,19,21,1
50240,21,231,1,15,0.536,0,0.0,1,1,1,0,1,1,0,0,52,2,12,1
50244,22,254,1,15,0.517,0,0.0,1,1,1,0,1,0,0,0,40,17,12,1
50245,18,231,1,11,0.44,0,0.0,1,1,1,0,1,2,1,0,40,24,34,1
50246,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,0,0,24,16,11,1
50250,22,231,1,16,0.552,0,0.0,1,1,1,0,1,2,1,0,32,3,8,1
50252,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,1,0,26,5,20,1
50265,22,231,1,16,0.552,0,0.0,1,1,0,0,0,2,1,0,11,20,36,1
50272,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,0,0,26,12,28,1
50274,19,231,1,13,0.5,0,0.0,1,1,0,0,0,1,0,0,40,1,0,1
50275,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,0,0,20,7,20,1
50279,23,231,1,17,0.567,0,0.0,1,1,0,0,1,6,1,0,26,24,35,1
50290,17,231,1,11,0.458,0,0.0,1,1,0,0,0,7,0,0,30,6,6,1
50293,26,231,1,20,0.606,0,0.0,1,1,1,0,1,0,0,0,22,15,20,1
50299,22,231,1,16,0.552,0,0.0,1,1,0,0,1,1,0,0,21,0,0,1
50300,19,189,1,13,0.5,0,0.0,1,1,0,0,1,1,0,0,34,5,9,1
50307,24,231,1,18,0.581,0,0.0,1,1,1,0,1,2,1,0,89,4,9,1
50313,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,0,0,45,10,17,1
50318,17,254,1,11,0.458,0,0.0,1,1,1,0,1,1,1,0,22,2,3,1
50321,17,254,1,10,0.417,0,0.0,1,1,1,0,1,0,1,0,57,1,3,1
50334,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,0,0,25,4,14,1
50335,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,1,0,4,3,4,1
50339,14,254,1,8,0.381,0,0.0,1,1,1,0,0,1,1,0,42,10,12,1
50347,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,0,0,94,6,9,1
50350,15,263,1,9,0.409,0,0.0,1,1,0,0,1,0,0,0,11,7,6,1
50351,16,189,1,10,0.435,0,0.0,1,1,0,0,1,0,0,0,17,3,17,1
50356,30,231,1,24,0.649,0,0.0,1,1,0,0,1,8,1,0,12,9,18,1
50357,20,254,1,13,0.481,0,0.0,1,1,1,0,1,2,1,0,34,5,17,1
50359,20,231,1,14,0.519,0,0.0,1,1,1,0,1,1,1,0,33,2,6,1
50360,21,231,1,15,0.536,0,0.0,1,1,1,0,1,1,0,0,48,25,25,1
50374,15,231,1,9,0.409,0,0.0,1,1,1,0,1,1,0,0,24,4,5,1
50379,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,1,0,22,4,7,1
50380,16,231,1,10,0.435,0,0.0,1,1,1,0,1,0,0,0,3,2,2,1
50381,17,231,1,11,0.458,0,0.0,1,1,0,0,1,1,0,0,29,0,0,1
50389,26,231,1,20,0.606,0,0.0,1,1,0,0,1,0,1,0,13,5,11,1
50394,29,231,1,23,0.639,0,0.0,1,1,0,0,1,0,1,0,6,8,15,1
50400,17,231,1,11,0.458,0,0.0,1,1,1,0,1,2,0,0,18,7,10,1
50407,20,231,1,14,0.519,0,0.0,1,1,0,0,1,0,1,0,82,2,42,1
50414,17,231,1,11,0.458,0,0.0,1,1,0,0,1,3,1,0,10,4,8,1
50420,19,231,1,13,0.5,0,0.0,1,1,0,0,1,2,1,0,27,18,38,1
50421,26,231,1,20,0.606,0,0.0,1,1,1,0,1,0,0,0,30,6,16,1
50422,22,231,1,16,0.552,0,0.0,1,1,1,0,1,1,0,0,48,7,20,1
50430,24,231,1,17,0.548,0,0.0,1,1,0,0,1,1,1,0,12,5,28,1
50432,16,231,1,10,0.435,0,0.0,1,1,1,0,1,5,1,0,62,1,9,1
50442,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,1,0,4,2,5,1
50447,26,231,1,20,0.606,0,0.0,1,1,1,0,1,2,1,0,33,7,18,1
50448,24,334,1,18,0.581,0,0.0,1,1,0,0,0,0,0,0,18,9,14,1
50456,20,231,1,14,0.519,0,0.0,1,1,1,0,1,3,1,0,41,9,8,1
50460,15,231,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,14,4,4,1
50466,24,231,1,18,0.581,0,0.0,1,1,1,0,0,2,1,0,40,16,13,1
50471,16,231,1,10,0.435,0,0.0,1,1,0,0,0,0,0,0,6,3,4,1
50477,27,231,1,20,0.588,0,0.0,1,1,0,0,0,0,0,0,19,1,0,1
50479,11,273,1,5,0.278,0,0.0,1,1,1,0,1,3,0,0,44,3,18,1
50485,19,282,1,13,0.5,0,0.0,1,1,0,0,1,0,1,0,44,0,3,1
50487,21,231,1,14,0.5,0,0.0,1,1,0,0,1,1,1,0,22,17,17,1
50488,19,231,1,13,0.5,0,0.0,1,1,0,0,0,6,1,0,79,5,15,1
50491,14,231,1,8,0.381,0,0.0,1,1,1,0,1,1,1,0,40,32,21,1
50494,26,231,1,20,0.606,0,0.0,1,1,1,0,1,2,1,0,62,15,26,1
50506,17,282,1,11,0.458,0,0.0,1,1,1,0,1,0,0,0,22,2,8,1
50513,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,0,0,7,3,6,1
50514,15,231,1,8,0.364,0,0.0,1,1,1,0,0,0,1,0,12,2,6,1
50520,20,231,1,13,0.481,0,0.0,1,1,1,0,1,0,0,0,0,1,4,1
50522,25,231,1,19,0.594,0,0.0,1,1,1,0,0,5,1,0,28,9,11,1
50527,16,273,1,10,0.435,0,0.0,1,1,0,0,1,2,0,0,40,8,4,1
50534,18,189,1,11,0.44,0,0.0,1,1,0,0,0,0,0,0,1,1,5,1
50535,16,231,1,10,0.435,0,0.0,1,1,1,0,1,3,1,0,18,3,8,1
50536,19,231,1,12,0.462,0,0.0,1,1,1,0,1,5,1,0,11,2,6,1
50540,18,231,1,12,0.48,0,0.0,1,1,0,0,0,0,0,0,75,3,1,1
50541,18,231,1,11,0.44,0,0.0,1,1,0,0,1,3,0,0,29,6,7,1
50550,25,231,1,19,0.594,0,0.0,1,1,0,0,1,0,0,0,11,1,4,1
50556,15,231,1,9,0.409,0,0.0,1,1,0,0,1,4,1,0,7,8,11,1
50559,16,231,1,10,0.435,0,0.0,1,1,0,0,0,1,0,0,55,22,27,1
50566,31,231,1,25,0.658,0,0.0,1,1,1,0,1,0,1,0,20,12,15,1
50575,17,231,1,11,0.458,0,0.0,1,1,1,0,0,1,0,0,26,3,6,1
50578,23,231,1,17,0.567,0,0.0,1,1,1,0,1,3,0,0,14,2,9,1
50583,17,231,1,11,0.458,0,0.0,1,1,1,0,1,3,1,0,35,5,12,1
50585,20,231,1,14,0.519,0,0.0,1,1,1,0,1,2,0,0,13,3,15,1
50586,18,231,1,12,0.48,0,0.0,1,1,0,0,1,0,1,0,47,9,11,1
50588,19,231,1,13,0.5,0,0.0,1,1,1,0,0,0,1,0,3,4,28,1
50589,17,231,1,11,0.458,0,0.0,1,1,0,0,0,1,1,0,24,5,13,1
50593,27,231,1,21,0.618,0,0.0,1,1,1,0,1,0,1,0,28,20,29,1
50596,15,231,1,9,0.409,0,0.0,1,1,1,0,1,3,0,0,21,2,4,1
50600,16,334,1,10,0.435,0,0.0,1,1,0,0,1,0,1,0,14,10,19,1
50605,10,254,1,4,0.235,0,0.0,1,1,1,0,0,0,0,0,50,3,4,1
50614,23,231,1,16,0.533,0,0.0,1,1,0,0,0,3,0,0,40,1,3,1
50617,14,303,1,8,0.381,0,0.0,1,1,0,0,1,0,0,0,17,9,16,1
50618,21,231,1,14,0.5,0,0.0,1,1,0,0,1,0,0,0,33,12,18,1
50621,21,231,1,15,0.536,0,0.0,1,1,1,0,1,4,1,0,71,20,21,1
50623,27,231,1,21,0.618,0,0.0,1,1,0,0,1,3,1,0,22,6,10,1
50624,19,231,1,13,0.5,0,0.0,1,1,1,0,1,3,0,0,17,7,16,1
50625,24,231,1,18,0.581,0,0.0,1,1,0,0,1,0,1,0,11,2,0,1
50627,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,0,0,66,4,15,1
50633,23,231,1,17,0.567,0,0.0,1,1,0,0,0,0,0,0,49,2,0,1
50635,31,231,1,25,0.658,0,0.0,1,1,0,0,1,2,0,0,40,10,19,1
50641,16,231,1,10,0.435,0,0.0,1,1,0,0,1,2,1,0,25,23,42,1
50645,16,231,1,10,0.435,0,0.0,1,1,1,0,0,0,1,0,24,8,14,1
50647,26,140,1,19,0.576,0,0.0,1,1,1,0,1,2,1,0,19,14,30,1
50653,14,231,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,3,2,4,1
50666,30,231,1,24,0.649,0,0.0,1,1,1,0,0,0,1,0,12,8,9,1
50671,25,231,1,19,0.594,0,0.0,1,1,1,0,1,2,1,0,45,9,18,1
50681,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,0,0,1,4,2,1
50682,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,0,0,19,15,23,1
50683,17,231,1,11,0.458,0,0.0,1,1,1,0,1,3,1,0,9,2,9,1
50686,16,189,1,10,0.435,0,0.0,1,1,1,0,1,0,1,0,70,20,32,1
50690,25,231,1,19,0.594,0,0.0,1,1,1,0,0,0,0,0,24,10,12,1
50691,18,231,1,12,0.48,0,0.0,1,1,0,0,1,0,0,0,44,1,0,1
50697,32,231,1,26,0.667,0,0.0,1,1,1,0,1,0,0,0,58,6,16,1
50703,12,231,1,6,0.316,0,0.0,1,1,0,0,1,0,1,0,43,1,3,1
50712,20,254,1,14,0.519,0,0.0,1,1,1,0,1,0,1,0,64,4,5,1
50715,15,231,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,34,2,7,1
50721,20,231,1,14,0.519,0,0.0,1,1,0,0,1,0,0,0,15,2,11,1
50724,22,231,1,15,0.517,0,0.0,1,1,1,0,0,1,0,0,22,1,8,1
50733,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,1,0,29,5,10,1
50737,27,231,1,21,0.618,0,0.0,1,1,0,0,1,1,1,0,19,12,27,1
50739,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,1,0,3,21,29,1
50751,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,0,0,24,6,6,1
50756,22,231,1,16,0.552,0,0.0,1,1,1,0,1,0,1,0,15,6,18,1
50758,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,1,0,35,2,9,1
50761,15,231,1,9,0.409,0,0.0,1,1,1,0,0,0,0,0,13,5,21,1
50776,15,231,1,9,0.409,0,0.0,1,1,1,0,1,1,0,0,15,1,6,1
50778,18,231,1,12,0.48,0,0.0,1,1,1,0,1,2,0,0,11,5,20,1
50779,27,231,1,21,0.618,0,0.0,1,1,1,0,1,0,1,0,23,21,41,1
50784,10,164,1,4,0.235,0,0.0,1,1,0,0,0,0,1,0,19,31,33,1
50790,17,254,1,10,0.417,0,0.0,1,1,1,0,1,0,0,0,49,4,1,1
50798,15,231,1,9,0.409,0,0.0,1,1,0,0,1,0,1,0,11,12,11,1
50799,17,231,1,11,0.458,0,0.0,1,1,1,0,0,4,1,0,16,29,40,1
50807,15,231,1,9,0.409,0,0.0,1,1,1,0,1,0,0,0,32,5,8,1
50815,14,231,1,8,0.381,0,0.0,1,1,1,0,1,2,0,0,51,2,17,1
50818,13,273,1,7,0.35,0,0.0,1,1,1,0,1,2,0,0,53,0,7,1
50820,10,273,1,4,0.235,0,0.0,1,1,1,0,0,1,0,0,41,1,8,1
50828,29,231,1,23,0.639,0,0.0,1,1,1,0,1,6,1,0,92,9,19,1
50830,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,1,0,94,10,14,1
50831,26,231,1,20,0.606,0,0.0,1,1,1,0,0,0,1,0,23,12,16,1
50837,26,231,1,20,0.606,0,0.0,1,1,1,0,1,0,0,0,75,3,28,1
50839,16,303,1,10,0.435,0,0.0,1,1,0,0,1,2,1,0,65,18,26,1
50844,19,231,1,13,0.5,0,0.0,1,1,1,0,1,0,0,0,6,6,1,1
50846,24,231,1,18,0.581,0,0.0,1,1,1,0,1,0,1,0,84,19,26,1
50849,16,231,1,10,0.435,0,0.0,1,1,0,0,1,0,1,0,8,13,10,1
50857,15,231,1,9,0.409,0,0.0,1,1,1,0,1,2,1,0,22,12,23,1
50858,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,0,0,61,8,18,1
50861,15,231,1,9,0.409,0,0.0,1,1,0,0,1,0,0,0,12,0,2,1
50862,26,231,1,20,0.606,0,0.0,1,1,1,0,1,0,0,0,19,8,16,1
50866,14,231,1,8,0.381,0,0.0,1,1,0,0,1,0,0,0,74,1,11,1
50868,27,231,1,21,0.618,0,0.0,1,1,0,0,1,0,0,0,17,4,7,1
50869,12,127,1,6,0.316,0,0.0,1,1,0,0,0,0,0,0,31,3,3,1
50878,17,231,1,11,0.458,0,0.0,1,1,1,0,1,0,0,0,35,1,6,1
50880,14,231,1,8,0.381,0,0.0,1,1,0,0,1,0,1,0,5,2,4,1
50881,25,211,1,18,0.562,0,0.0,1,1,0,0,1,0,0,0,41,13,10,1
50882,19,231,1,13,0.5,0,0.0,1,1,0,0,0,0,1,0,18,6,8,1
50886,19,231,1,13,0.5,0,0.0,1,1,1,0,1,1,0,0,18,13,8,1
50888,19,231,1,13,0.5,0,0.0,1,1,0,0,1,3,1,0,9,0,1,1
50889,19,231,1,13,0.5,0,0.0,1,1,0,0,1,2,1,0,12,1,5,1
50892,19,231,1,13,0.5,0,0.0,1,1,1,0,0,0,0,0,14,16,31,1
50894,18,231,1,12,0.48,0,0.0,1,1,0,0,0,0,0,0,59,3,8,1
50904,20,189,1,14,0.519,0,0.0,1,1,0,0,1,0,1,0,12,4,14,1
50913,22,231,1,16,0.552,0,0.0,1,1,1,0,1,3,1,0,21,12,20,1
50916,12,231,1,6,0.316,0,0.0,1,1,1,0,1,3,0,0,38,2,7,1
50920,22,231,1,16,0.552,0,0.0,1,1,0,0,1,2,1,0,53,7,25,1
50923,26,231,1,20,0.606,0,0.0,1,1,1,0,0,3,1,0,9,12,15,1
50928,21,231,1,15,0.536,0,0.0,1,1,0,0,0,0,0,0,11,2,4,1
50929,15,231,1,9,0.409,0,0.0,1,1,0,0,1,0,1,0,38,18,10,1
50937,30,231,1,23,0.622,0,0.0,1,1,1,0,1,0,0,0,12,2,5,1
50939,19,231,1,13,0.5,0,0.0,1,1,1,0,0,3,0,0,21,2,11,1
50942,20,231,1,14,0.519,0,0.0,1,1,0,0,1,1,1,0,47,8,42,1
50945,22,231,1,16,0.552,0,0.0,1,1,0,0,1,3,0,0,10,1,1,1
50953,24,231,1,18,0.581,0,0.0,1,1,0,0,1,3,1,0,2,24,13,1
50956,12,231,1,6,0.316,0,0.0,1,1,1,0,1,2,1,0,23,1,8,1
50959,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,1,0,37,6,11,1
50965,17,231,1,11,0.458,0,0.0,1,1,0,0,1,0,0,0,18,8,3,1
50971,12,273,1,6,0.316,0,0.0,1,1,0,0,1,2,1,0,20,3,9,1
50972,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,23,11,15,1
50976,29,231,1,23,0.639,0,0.0,1,1,0,0,0,0,1,0,3,1,0,1
50981,15,231,1,9,0.409,0,0.0,1,1,1,0,0,4,0,0,43,3,9,1
50992,24,254,1,17,0.548,0,0.0,1,1,1,0,0,0,1,0,55,13,32,1
50999,19,231,1,13,0.5,0,0.0,1,1,0,0,1,1,0,0,88,0,0,1
51001,31,231,1,25,0.658,0,0.0,1,1,1,0,1,0,0,0,33,8,19,1
51003,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,0,0,66,2,4,1
51010,21,231,1,15,0.536,0,0.0,1,1,1,0,1,3,0,0,23,6,6,1
51011,17,231,1,11,0.458,0,0.0,1,1,0,0,1,0,1,0,21,7,14,1
51026,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,1,0,34,32,27,1
51027,19,231,1,13,0.5,0,0.0,1,1,1,0,1,1,1,0,37,8,7,1
51028,17,157,1,10,0.417,0,0.0,1,1,1,0,1,0,0,0,2,7,20,1
51031,16,303,1,9,0.391,0,0.0,1,1,1,0,1,0,0,0,7,1,2,1
51038,26,254,1,19,0.576,0,0.0,1,1,1,0,1,0,1,0,19,3,6,1
51042,16,231,1,10,0.435,0,0.0,1,1,1,0,0,0,0,0,10,19,33,1
51047,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,1,0,14,2,5,1
51049,25,231,1,19,0.594,0,0.0,1,1,1,0,0,3,1,0,29,5,16,1
51050,18,231,1,12,0.48,0,0.0,1,1,0,0,1,1,0,0,7,1,2,1
51059,26,231,1,20,0.606,0,0.0,1,1,1,0,0,4,1,0,25,11,29,1
51061,24,231,1,18,0.581,0,0.0,1,1,0,0,0,0,1,0,30,16,8,1
51071,22,231,1,16,0.552,0,0.0,1,1,0,0,1,0,1,0,3,1,0,1
51073,20,252,1,14,0.519,0,0.0,1,1,1,0,1,2,1,0,82,6,5,1
51077,26,231,1,20,0.606,0,0.0,1,1,1,0,1,2,1,0,44,6,29,1
51079,14,231,1,8,0.381,0,0.0,1,1,1,0,1,0,0,0,13,25,3,1
51086,13,280,1,7,0.35,0,0.0,1,1,1,0,1,2,1,0,64,7,21,1
51087,13,303,1,7,0.35,0,0.0,1,1,1,0,0,0,1,0,24,18,32,1
51089,17,231,1,11,0.458,0,0.0,1,1,1,0,1,2,1,0,11,3,18,1
51090,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,0,0,94,2,12,1
51095,24,231,1,18,0.581,0,0.0,1,1,0,0,0,0,1,0,19,8,5,1
51100,22,303,1,15,0.517,0,0.0,1,1,1,0,1,0,0,0,30,27,13,1
51107,16,231,1,10,0.435,0,0.0,1,1,0,0,1,3,1,0,1,4,3,1
51111,27,231,1,21,0.618,0,0.0,1,1,0,0,1,0,0,0,1,9,15,1
51114,12,231,1,6,0.316,0,0.0,1,1,1,0,0,0,0,0,32,11,17,1
51125,21,231,1,15,0.536,0,0.0,1,1,0,0,0,0,0,0,12,5,14,1
51127,11,280,1,5,0.278,0,0.0,1,1,1,0,1,0,1,0,23,16,16,1
51129,19,231,1,13,0.5,0,0.0,1,1,1,0,1,1,0,0,20,10,10,1
51130,23,231,1,17,0.567,0,0.0,1,1,1,0,1,4,1,0,15,5,12,1
51138,27,189,1,21,0.618,0,0.0,1,1,0,0,1,2,0,0,44,7,8,1
51139,17,231,1,11,0.458,0,0.0,1,1,0,0,1,0,0,0,9,0,0,1
51140,20,231,1,14,0.519,0,0.0,1,1,0,0,1,3,0,0,52,9,6,1
51144,13,282,1,7,0.35,0,0.0,1,1,1,0,1,0,0,0,9,6,14,1
51145,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,0,0,27,0,2,1
51147,17,254,1,11,0.458,0,0.0,1,1,1,0,1,0,1,0,14,2,1,1
51149,19,231,1,13,0.5,0,0.0,1,1,1,0,1,2,1,0,37,3,11,1
51156,20,231,1,14,0.519,0,0.0,1,1,0,0,1,0,1,0,66,4,5,1
51161,12,231,1,6,0.316,0,0.0,1,1,0,0,0,0,0,0,15,12,9,1
51169,12,231,1,6,0.316,0,0.0,1,1,1,0,0,0,1,0,20,18,23,1
51170,23,231,1,17,0.567,0,0.0,1,1,0,0,1,2,1,0,36,6,13,1
51173,28,231,1,22,0.629,0,0.0,1,1,0,0,1,9,0,0,31,4,6,1
51176,19,254,1,13,0.5,0,0.0,1,1,0,0,1,2,0,0,36,3,13,1
51177,34,231,1,26,0.634,0,0.0,1,1,0,0,1,0,1,0,43,5,11,1
51178,19,231,1,13,0.5,0,0.0,1,1,1,0,1,0,1,0,46,7,21,1
51180,13,231,1,7,0.35,0,0.0,1,1,0,0,1,0,0,0,19,0,0,1
51186,20,231,1,14,0.519,0,0.0,1,1,0,0,1,0,0,0,14,3,10,1
51192,19,252,1,12,0.462,0,0.0,1,1,1,0,1,2,0,0,8,7,12,1
51193,23,252,1,17,0.567,0,0.0,1,1,0,0,0,0,0,0,16,3,9,1
51197,24,231,1,18,0.581,0,0.0,1,1,1,0,1,2,0,0,17,7,11,1
51204,24,231,1,18,0.581,0,0.0,1,1,1,0,0,9,1,0,29,6,9,1
51214,22,231,1,16,0.552,0,0.0,1,1,0,0,1,2,0,0,22,0,9,1
51220,16,231,1,10,0.435,0,0.0,1,1,1,0,1,1,1,0,27,4,16,1
51235,26,231,1,20,0.606,0,0.0,1,1,0,0,1,0,0,0,26,7,10,1
51251,27,231,1,21,0.618,0,0.0,1,1,0,0,1,2,1,0,21,1,5,1
51277,12,254,1,6,0.316,0,0.0,1,1,1,0,1,0,1,0,3,1,5,1
51281,19,231,1,13,0.5,0,0.0,1,1,0,0,1,6,1,0,61,24,17,1
51288,21,231,1,14,0.5,0,0.0,1,1,0,0,1,5,1,0,20,2,12,1
51290,25,231,1,19,0.594,0,0.0,1,1,1,0,1,0,0,0,22,4,8,1
51291,15,254,1,9,0.409,0,0.0,1,1,1,0,1,1,1,0,79,2,20,1
51306,15,231,1,9,0.409,0,0.0,1,1,1,0,0,9,1,0,32,4,7,1
51308,25,231,1,19,0.594,0,0.0,1,1,1,0,1,2,0,0,51,3,6,1
51309,25,231,1,19,0.594,0,0.0,1,1,0,0,1,0,1,0,41,4,20,1
51312,16,231,1,10,0.435,0,0.0,1,1,1,0,1,2,1,0,11,13,13,1
51321,24,231,1,18,0.581,0,0.0,1,1,0,0,1,0,0,0,6,0,3,1
51329,16,231,1,10,0.435,0,0.0,1,1,0,0,1,2,1,0,63,1,3,1
51332,26,231,1,20,0.606,0,0.0,1,1,0,0,1,6,1,0,23,9,13,1
51340,20,292,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,39,0,3,1
51350,19,231,1,13,0.5,0,0.0,1,1,1,0,1,1,0,0,16,3,9,1
51359,18,231,1,12,0.48,0,0.0,1,1,0,0,1,1,1,0,60,26,39,1
51366,22,231,1,16,0.552,0,0.0,1,1,0,0,0,0,0,0,8,1,1,1
51368,21,231,1,15,0.536,0,0.0,1,1,0,0,1,1,1,0,18,16,33,1
51369,38,231,1,32,0.711,0,0.0,1,1,1,0,1,3,0,0,61,12,19,1
51372,26,231,1,19,0.576,0,0.0,1,1,1,0,1,3,0,0,8,12,15,1
51373,24,231,1,18,0.581,0,0.0,1,1,1,0,1,1,1,0,6,2,12,1
51378,16,252,1,10,0.435,0,0.0,1,1,1,0,0,7,0,0,43,3,6,1
51389,24,231,1,18,0.581,0,0.0,1,1,1,0,1,1,1,0,26,9,16,1
51393,27,231,1,21,0.618,0,0.0,1,1,0,0,1,4,0,0,11,7,11,1
51394,17,231,1,11,0.458,0,0.0,1,1,0,0,0,0,0,0,2,0,1,1
51398,16,231,1,10,0.435,0,0.0,1,1,0,0,0,0,1,0,11,31,33,1
51403,25,231,1,19,0.594,0,0.0,1,1,0,0,1,0,1,0,1,1,6,1
51413,14,231,1,8,0.381,0,0.0,1,1,0,0,0,0,1,0,26,5,6,1
51416,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,0,0,92,2,7,1
51417,16,231,1,10,0.435,0,0.0,1,1,1,0,1,0,0,0,22,20,32,1
51419,23,231,1,17,0.567,0,0.0,1,1,1,0,1,0,1,0,39,8,9,1
51428,13,292,1,7,0.35,0,0.0,1,1,1,0,1,0,1,0,35,1,4,1
51433,31,231,1,25,0.658,0,0.0,1,1,0,0,1,0,1,0,15,3,11,1
51443,24,254,1,17,0.548,0,0.0,1,1,0,0,1,0,0,0,16,8,14,1
51447,22,231,1,16,0.552,0,0.0,1,1,1,0,1,1,0,0,25,9,13,1
51456,15,226,1,9,0.409,0,0.0,1,1,0,0,1,0,0,0,4,4,2,1
51459,16,231,1,10,0.435,0,0.0,1,1,1,0,1,1,0,0,11,11,16,1
51465,28,231,1,22,0.629,0,0.0,1,1,1,0,1,3,1,0,23,28,7,1
51467,18,231,1,12,0.48,0,0.0,1,1,1,0,1,0,0,0,9,2,6,1
51472,15,284,1,9,0.409,0,0.0,1,1,1,0,1,2,0,0,2,1,1,1
51475,27,231,1,21,0.618,0,0.0,1,1,1,0,1,2,1,0,19,5,15,1
51480,21,231,1,15,0.536,0,0.0,1,1,0,0,1,0,1,0,6,1,6,1
51481,26,231,1,20,0.606,0,0.0,1,1,1,0,1,1,1,0,10,25,41,1
51483,24,231,1,18,0.581,0,0.0,1,1,0,0,1,0,0,0,21,6,2,1
51485,16,231,1,10,0.435,0,0.0,1,1,1,0,1,0,0,0,46,7,10,1
51488,20,231,1,14,0.519,0,0.0,1,1,0,0,1,4,1,0,77,10,6,1
51501,14,231,1,8,0.381,0,0.0,1,1,1,0,1,4,0,0,67,1,9,1
51502,17,189,1,11,0.458,0,0.0,1,1,0,0,1,0,0,0,19,4,9,1
51503,23,231,1,17,0.567,0,0.0,1,1,0,0,1,0,1,0,52,1,11,1
51507,20,280,1,14,0.519,0,0.0,1,1,1,0,1,2,0,0,4,3,2,1
51514,15,282,1,9,0.409,0,0.0,1,1,0,0,0,0,0,0,2,2,6,1
51517,22,231,1,16,0.552,0,0.0,1,1,1,0,1,1,1,0,44,9,29,1
51519,21,231,1,15,0.536,0,0.0,1,1,1,0,1,2,1,0,96,9,7,1
51522,20,231,1,14,0.519,0,0.0,1,1,1,0,1,0,0,0,20,8,14,1
51524,15,231,1,9,0.409,0,0.0,1,1,0,0,0,2,0,0,27,2,3,1
51527,21,231,1,15,0.536,0,0.0,1,1,1,0,1,0,1,0,12,1,2,1
51538,14,231,1,8,0.381,0,0.0,1,1,0,0,1,0,0,0,3,6,12,1
51541,26,231,1,20,0.606,0,0.0,1,1,1,0,1,2,1,0,60,4,21,1
51543,22,231,1,16,0.552,0,0.0,1,1,1,0,1,0,0,0,13,12,15,1
51546,14,231,1,8,0.381,0,0.0,1,1,1,0,1,2,1,0,20,1,7,1
51549,14,273,1,8,0.381,0,0.0,1,1,0,0,0,1,1,0,36,2,12,1
